Conv_layer#,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,avg_energy_consumption,stdv_energy_consumption,CoV
1,73.041,65.708,59.43,79.4335,73.023,73.242,77.796,63.27,73.33,79.7355,81.16,75.359,78.2205,80.481,72.671,65.244,68.594,58.276,80.976,79.097,70.681,79.662,70.252,74.43,78.009,80.696,79.322,71.137,76.182,79.055,73.91711667,6.441299642,0.08714219294
2,48.146,47.88,38.928,33.678,48.427,44.862,34.986,38.964,51.12,37.377,61.146,51.13,47.033,61.186,57.92,56.8,36.994,40.453,61.92,36.918,37.7,41.539,49.94,50.584,45.236,58.152,40.376,40.008,49.88,62.64,47.0641,8.869896397,0.1884641669
3,18.673,9.906,14.112,12.604,19.987,20.435,12.838,13.65,25.276,12.33,21.758,21.016,17.621,24.115,15.668,15.105,15.997,12.375,27.122,12.33,14.248,14.522,21.868,23.29,14.196,22.468,10.646,12.624,10.824,24.638,17.07473333,5.026590686,0.2943876539
4,16.872,16.898,32.361,31.308,33.04,32.802,18.924,14.784,29.975,16.137,30.561,22.45,23.1685,24.75,23.868,18.312,14.1,17.328,46.812,14.82,14.849,15.712,27.888,20.664,15.98,25.19,14.138,17.15,18.463,35.551,22.82851667,8.157399466,0.3573337499
5,46.706,50.643,59.274,45.261,42.185,60.684,62.937,24.882,45.377,52.074,50.728,60.236,54.38,71.799,42.771,37.748,56.942,34.166,39.445,54.948,26.4,44.392,31.12,40.4575,40.086,50.944,51.327,65.44,47.2805,56.232,48.22883333,11.26963839,0.2336701431
6,54.184,58.124,49.575,58.642,61.25,53.074,48.7585,62.1615,59.721,54.285,59.763,63.64,61.849,74.639,60.48,59.94,51.198,61.461,55.8,56.2285,49.106,53.059,50.742,54.55,58.345,53.601,55.275,55.638,61.516,58.289,57.16315,5.3659855,0.09387141016
7,33.3525,26.676,22.901,26.547,15.035,22.77,16.064,24.361,36.3,27.99,23.52,32.445,26.929,34.959,28.272,22.725,21.912,32.793,35.85,28.787,24.735,19.44,17.76,28.402,22.128,14.415,25.25,27.964,20.83,23.267,25.47931667,5.921566053,0.2324067843
8,37.114,25.036,23.121,28.733,23.332,33.85,24.321,35.54,44.334,38.844,46.44,37.036,50.368,48.012,36.55,53.72,36.642,43.678,25.312,43.52,39.423,38.123,24.516,33.296,37.6575,30.906,51.612,37.188,40.854,40.302,36.97935,8.644673709,0.2337702991
9,58.1,65.384,65.136,61.753,56.349,48.283,53.619,63.248,57.211,59.306,51.383,56.661,73.26,35.762,58.4145,60.198,58.298,66.681,57.673,60.218,57.534,55.642,64.54,58.144,62.697,47.138,54.1065,57.168,47.596,54.8,57.54343333,7.048837656,0.1224959522
10,29.382,33.252,36.062,33.6,18.225,33.425,27.089,28.98,21.156,27.846,24.444,22.652,27.832,30.16,23.0855,33.3,26.765,37.444,38.458,36.334,30.042,32.895,21.51,22.005,22.608,19.917,33.001,30.225,24.05,25.677,28.38071667,5.615303955,0.1978563128
11,39.8,38.208,42.174,40.986,39.732,46.6095,43.371,60.599,40.488,48.048,47.584,61.51,59.982,49.644,53.591,44.303,44.48,51.61,76.148,68.469,47.988,53.884,45.961,42.188,56.575,44.422,70.672,41.34,39.1,41.922,49.37961667,10.06885226,0.203907056
12,102.8175,121.78,121.422,97.496,72.858,109.388,108.788,98.733,120.79,110.49,101.538,113.314,114.093,103.786,110.226,97.552,90.728,101.718,100.262,94.386,98.097,102.384,114.656,119.9685,120.78,114.051,116.53,108.3155,114.784,85.245,106.23255,11.57055313,0.1089172116
13,43.273,29.728,49.584,37.926,29.04,41.64,38.248,40.0505,39.5575,45.73,35.0185,34.952,32.384,34.008,33.575,37.492,38.516,36.3065,30.176,31.696,30.132,49.352,37.604,35.016,49.182,44.058,35.494,44.204,35.084,32.44,37.71556667,5.940261742,0.1575015906
14,51.706,57.72,49.92,28.77,30.908,32.68,44.407,40.4595,61.058,47.9,54.777,41.998,43.298,45.099,46.016,52.225,40.649,47.05,46.953,33.818,63.625,62.875,47.1655,45.264,67.095,52.538,45.465,44.132,35.658,30.504,46.3911,10.00209644,0.2156037784
15,50.031,45.521,48.572,40.163,65.542,43.5165,44.484,64.01,53.972,39.236,49.731,56.908,56.1,44.814,46.531,49.304,61.1055,57.216,45.024,34.559,56.267,45.436,58.2615,71.179,58.864,61.468,47.1355,42.799,52.277,34.428,50.81516667,9.094519513,0.1789725413
16,47.388,47.771,72.924,47.838,47.958,46.398,57.327,74.235,54.936,72.203,46.134,47.905,48.676,47.369,47.322,47.947,46.537,50.531,59.82,46.096,47.634,47.058,48.212,47.271,62.205,46.121,44.891,47.736,46.662,61.662,51.89223333,8.591662389,0.1655674045
17,21.06,22.232,16.632,18.571,28.63,19.941,23.872,23.485,23.13,16.942,25.476,27.135,22.388,20.898,27.258,23.873,23.423,21.692,35.433,16.72,24.822,30.099,23.4,28.26,28.756,22.275,26.331,30.32,19.815,20.862,23.79103333,4.401922507,0.1850244353
18,44.683,71.179,28.8,36.04,32.848,36.255,53.815,32.046,80.157,46.231,47.449,44.623,41.057,56.448,27.21,38.082,44.644,32.902,57.255,45.706,47.364,31.943,35.022,50.028,62.44,28.976,31.817,36.447,34.009,29.96,42.84786667,12.95408703,0.3023274677
19,39.325,38.508,43.571,22.816,41.586,24.344,37.5765,22.72,46.27,34.128,45.588,34.884,38.864,43.31,27.068,28.63,31.765,32.765,41.12,32.265,52.034,38.995,36.882,47.046,51.228,40.432,38.139,24.43,36.6325,43.371,37.20976667,7.988134379,0.2146784324
20,26.202,22.374,23.15,36.195,27.807,27.268,26.64,21.615,22.509,22.66,33.516,21.728,22.509,19.761,21.831,27.51,25.87,18.165,24.24,21.492,22.852,18.815,23.432,20.73,23.203,14.282,27.377,18.8,19.6,18.804,23.36456667,4.482107499,0.1918335385
21,66.15,53.912,52.542,61.693,40.806,63.914,41.971,55.864,33.459,37.555,67.663,38.253,32.631,38.688,63.7,38.764,30.03,45.629,29.769,46.564,33.696,41.241,48.508,47.69,36.848,38.346,42.843,68.4235,40.892,30.088,45.60441667,12.04401184,0.264097487
22,43.035,45.429,35.231,36.246,46.93,37.027,27.729,49.312,24.92,54.808,30.788,31.812,31.108,31.334,35.678,37.388,32.13,31.768,28.197,47.346,22.88,44.2,30.048,39.928,37.194,36.804,23.2,35.621,56.534,35.9595,36.68615,8.63123064,0.2352721842
23,25.222,16.359,29.088,17.955,20.774,21.012,21.175,14.208,31.416,18.048,28.314,21.446,26.264,18,24.959,20.108,21.382,18.262,21.624,19.839,25.536,24.3,16.548,19.227,29.783,17.028,19.76,20.696,24.576,23.16,21.86896667,4.305177809,0.1968624249
