Conv_layer#,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,avg_energy_consumption,stdv_energy_consumption,CoV
1,133.5805,133.642,133.281,144.487,131.812,132.574,137.073,132.563,137.763,132.498,142.901,133.108,130.123,145.829,135.6365,151.048,133.204,133.719,132.325,134.154,134.3655,129.12,133.911,128.4375,133.4485,138.069,133.3315,133.82,133.282,132.8645,135.0656833,4.973549807,0.03682319361
2,205.561,199.082,205.2925,199.684,202.136,199.8985,203.0055,200.5665,198.7175,203.841,199.7205,201.151,199.5385,208.052,201.4615,202.0875,200.8865,200.79,203.7815,203.7625,201.84,203.335,204.197,200.7,203.481,200.9185,202.466,202.507,202.012,201.306,202.0592833,2.113073092,0.01045768874
3,99.0035,98.035,98.67,97.227,100.43,97.685,96.451,98.37,97.6385,101.031,99,97.5025,95.642,97.595,113.573,100.574,99.6835,100.431,99.21,100.016,98.73,99.4415,98.67,100.43,98.3615,100.194,98.31,103.3285,100.7,122.7755,100.2903,5.240589778,0.05225420382
4,104.205,102.422,105.716,106.582,105.921,104.975,105.4455,104.91,104.401,103.149,104.79,105.276,102.73,104.19,103.407,104.225,109.0025,108.823,104.993,104.744,105.21,111.326,106.5,103.2895,110.553,103.805,104.773,107.8495,106.9475,104.388,105.48495,2.178955794,0.02065655616
5,114.24,119.0075,114.75,116.636,115.2885,115.9395,111.8545,114.78,113.434,115.256,113.2245,113.966,114.42,114.6,130.918,122.588,115.525,116.6115,113.8185,122.394,117.6495,114.6,122.362,111.945,114.05,113.635,114.922,121.488,121.7065,115.286,116.5631833,4.13042418,0.03543506673
6,112.1075,117.9915,110.585,128.1645,115.783,115.2145,111.9,113.871,114.0015,113.335,113.71,112.497,127.1675,113.6355,112.35,117.396,117.456,126.6535,113.9865,110.167,112.86,111.93,110.76,111.154,114.342,123.723,113.1555,114.896,112.856,113.8035,115.2484167,4.888888953,0.04242044354
7,109.589,104.7015,105.367,108.225,106.3455,107.131,105.9605,104.8545,105.12,109.213,105.836,107.061,105.195,104.255,107.407,107.331,103.6855,106.5855,105.53,106.708,107.27,104.0135,104.452,105.21,14.76,104.284,105.843,108.468,106.021,104.718,103.0380167,16.74305636,0.1624939697
8,117.5205,117.2905,114.297,115.459,111.3,111.699,113.509,114.042,119.7445,114.261,121.843,112.3595,116.656,114.985,113.256,112.242,114.6,113.135,113.045,115.574,113.73,111.369,115.744,113.936,116.101,115.137,115.2255,116.031,114.21,113.4725,114.7258,2.331172454,0.02031951361
9,113.456,139.809,113.035,113.959,113.485,112.197,123.766,112.4165,110.915,119.646,113.849,113.432,113.7555,113.156,118.8585,117.156,119.0985,118.7865,111.905,113.648,117.857,118.359,112.615,121.308,123.021,113.606,112.47,112.35,121.597,113.047,116.41865,5.745022789,0.04934795919
10,106.874,105.569,105.6855,106.335,107.117,104.46,105.09,104.52,106.104,105.872,107.7865,104.2515,105.321,106.49,104.79,105.986,106.9395,104.7975,101.779,103.3,104.044,104.31,104.485,129.41,105.365,102.514,104.7,103.503,104.55,105.909,105.9285833,4.635392711,0.04375960261
11,111.5145,114.235,115.305,114.09,119.917,115.2315,117.226,119.946,113.6155,114.3295,116.424,116.301,113.7375,114.1185,114.9735,115.496,128.1735,114.36,121.412,115.178,113.73,116.149,117.346,113.127,114.992,113.435,115.857,116.331,115.9755,114.706,115.90775,3.131167554,0.02701430711
12,225.19,227.814,227.776,235.4485,224.486,226.232,224.104,228.131,226.3305,226.7385,224.3145,226.527,223.3305,224.9115,225.055,226.495,228.836,223.416,227.2495,226.344,226.741,224.038,232.8725,221.6905,226.765,229.5135,243.5065,228.852,225.2955,221.354,226.9786,4.265231312,0.01879133677
13,118.603,137.7955,119.8495,119.766,125.132,121.1135,119.73,117.941,120.627,122.128,121.581,120.835,119.5625,120.853,121.346,130.219,122.6845,121.365,121.401,126.61,120.24,125.046,124.659,119.635,122.478,120.2395,124.274,128.709,120.6695,124.3335,122.6475333,4.056563322,0.03307496866
14,120.667,124.086,121.011,121.0125,118.288,118.101,117.785,118.59,118.5725,121.27,121.176,120.6325,119.649,120.798,119.31,118.92,120.799,123.991,118.385,120.832,119.3655,117.6775,119.365,118.621,119.288,117.875,119.848,118.52,118.8,119.226,119.7487167,1.616770609,0.01350136063
15,118.65,117.84,119.577,126.2575,117.665,118.89,117.844,117.5745,118.748,117.904,118.53,118.22,115.09,118.68,120.2355,120.115,120.541,121.005,119.0465,121.31,120.168,120.261,119.9725,117.7985,118.53,117.418,120.663,128.064,119.16,119.972,119.5243333,2.472844468,0.02068904632
16,112.412,111.21,123.381,111.78,111.639,110.074,110.936,111.54,111.78,111.241,112.316,112.225,112.641,112.3725,112.083,111.6465,110.315,115.422,113.839,113.5715,112.004,111.9325,114.292,111.69,110.4645,114.5635,112.9785,111.45,110.872,113.839,112.55035,2.410616841,0.02141811946
17,104.421,101.232,103.1955,101.671,100.95,101.522,102.75,101.612,101.85,101.509,101.85,102.825,103.348,105.16,101.94,102.5055,104.539,108.242,103.101,100.834,100.1145,101.1635,102.1085,118.256,103.436,101.3145,101.67,102.265,103.853,99.306,102.9514667,3.351838399,0.03255746137
18,120.2655,118.572,117.658,116.9865,120.382,117.0645,134.261,117.042,119.438,120.917,117.8745,118.113,118.6115,114.7875,119.07,115.8265,118.278,119.1515,118.7985,117.1545,119.996,121.4995,120.205,121.712,120.442,119.725,122.2045,126.363,130.799,129.139,120.4112333,4.368039256,0.03627601126
19,112.1355,112.495,110.4855,112.4945,111.9275,110.257,113.261,112.3175,109.696,111.836,111.619,111.51,111.69,108.834,112.679,111.87,111.4495,112.6675,111.57,112.1355,110.73,116.193,113.329,123.11,110.434,110.4065,110.973,113.3385,115.057,112.9235,112.31415,2.520766776,0.0224438931
20,102.12,100.516,102,101.88,100.6845,101.996,100.6435,108.9245,100.423,102.535,101.044,103.87,101.55,101.64,102.27,108.1185,101.093,103.12,101.09,100.505,100.0885,101.1,102.09,103.8815,101.802,102.36,103.8755,101.22,104.157,101.8445,102.2814,2.02163761,0.01976544719
21,121.1225,119.3615,127.5345,119.456,117.5695,119.5025,119.2165,117.959,118.964,120.504,130.704,117.45,119.04,120.345,118.1985,118.127,117.124,117.951,118.825,116.543,117.3945,117.454,118.14,118.408,129.2805,120.805,122.315,120.481,119.515,120.081,119.97905,3.411578966,0.02843478896
22,121.48,112.075,110.075,116.778,117.873,111.7315,110.898,110.3955,110.8255,111.72,113.158,114.857,110.524,112.1795,112.675,112.734,112.2225,111.124,111.066,111.437,113.512,111.21,111.569,110.194,112.0345,112.309,113.662,112.805,111.4795,110.73,112.5111167,2.455450105,0.02182406662
23,104.448,101.85,101.943,102.805,102.896,102.03,102.366,101.255,100.886,103.2045,102.24,102.92,101.1345,99.847,101.82,103.7575,102.42,101.2845,104.386,102.06,102.297,101.494,102.987,103.847,101.467,105.5265,102.18,100.77,99.6395,101.3935,102.2384833,1.311416985,0.01282703873
24,120.7865,118.9005,119.9425,123.282,118.8305,119.1,126.4655,120.3345,119.04,118.385,119.756,121.752,118.0055,118.95,120.657,120.116,117.412,121.1715,119.875,118.615,120.535,117.604,130.303,118.14,119.01,118.061,118.2355,119.212,117.995,131.651,120.4041167,3.41327188,0.02834846494
25,229.7555,237.918,228.646,227.912,225.4795,225.752,236.411,228.483,228.532,226.648,226.5605,227.816,227.9155,227.8455,226.6975,229.126,238.143,240.586,227.4255,228.925,227.417,230.302,229.469,226.1445,230.7735,229.3275,226.9825,227.0915,227.01,244.122,229.8405667,4.682202699,0.02037152434
26,126.177,131.439,125.7515,124.286,127.5195,127.1045,126.27,126.553,125.281,122.6455,127.4055,128.001,126.66,128.191,125.4645,124.149,126.597,126.484,130.001,124.819,126.8425,126.3255,125.79,126.57,125.4925,126.146,125.1475,125.8865,125.525,127.2555,126.3926667,1.66704569,0.01318941782
27,116.0445,117.8765,117.95,119.178,118.255,128.484,120.056,117.944,118.1425,118.225,118.676,116.195,116.345,116.91,117.387,116.785,116.545,119.361,118.2855,117.24,115.654,124.8505,117.42,115.895,116.2245,113.143,118.972,115.9425,124.704,115.381,118.1357167,3.073827864,0.02601946262
28,132.251,129.7115,123.6225,134.841,122.49,124.605,134.2855,129.766,134.916,120.729,130.914,123.3555,119.369,124.6405,122.76,123.472,134.334,123.2655,121.1435,123.5055,122.258,123.0425,124.882,125.613,121.023,124.1715,124.955,138.6055,120.564,135.6015,126.4897667,5.472275122,0.04326259164
29,112.8505,110.827,113.6265,110.2845,112.8045,111.701,111.03,114.1365,111.284,109.834,110.76,108.9385,110.0745,108.49,111.03,109.838,110.4,112.401,111.8355,107.923,119.5955,109.354,111.995,112.881,110.64,110.01,118.094,109.767,109.654,111.925,111.46615,2.501161575,0.02243875451
30,105.1715,105.933,103.18,104.52,103.497,107.03,103.444,103.085,105.775,105.205,103.385,103.354,111.624,105.265,104.693,106.6115,106.2,105.643,102.867,112.552,104.652,104.8455,108.1595,104.31,104.34,107.2065,102.937,103.526,104.389,105.5055,105.2968667,2.298928873,0.0218328327
31,124.7185,124.489,120.079,123.853,127.777,123.254,121.5045,121.302,119.9105,121.9205,123.5515,135.625,123.69,122.1,121.86,123.8175,119.981,123.143,135.131,122.608,122.432,123.547,123.414,126.4605,121.872,123.508,124.225,123.707,128.7275,124.012,124.074,3.658086286,0.0294831011
32,110.9195,111.69,110.442,108.884,110.88,110.719,109.477,121.5895,114.308,110.76,110.91,111.745,110.0975,109.7745,111.6885,110.94,113.151,111.1615,108.759,111.241,111.866,114.607,110.626,113.8355,112.78,111.6,125.2415,111.446,111.0665,112.189,112.1464833,3.395665722,0.03027884265
33,102.63,102.731,105.501,107.113,104.518,105.443,104.2185,105.475,103.778,104.9875,104.46,104.13,103.205,101.7985,103.28,103.4345,101.649,103.59,104.46,117.5145,101.732,102.9045,102.975,102.844,101.383,103.2355,105.446,105.921,106.322,104.1,104.3593167,2.874363388,0.02754294949
34,117.769,120.624,121.3645,121.615,121.8305,122.961,122.636,122.33,124.5095,125.4775,123.445,141.663,121.4425,134.936,121.016,123.385,128.376,121.6165,121.507,121.89,131.954,121.985,121.354,124.31,119.495,124.911,128.46,120.057,124.499,121.6455,123.9688167,4.897897831,0.03950911175
