Run,conv_layer_1,conv_layer_2,conv_layer_3,conv_layer_4,conv_layer_5,conv_layer_6,conv_layer_7,conv_layer_8,conv_layer_9,conv_layer_10,conv_layer_11,conv_layer_12,conv_layer_13,conv_layer_14,conv_layer_15,conv_layer_16,conv_layer_17,conv_layer_18,conv_layer_19,conv_layer_20,conv_layer_21,conv_layer_22,conv_layer_23,conv_layer_24,conv_layer_25,conv_layer_26,conv_layer_27,conv_layer_28,conv_layer_29,conv_layer_30,conv_layer_31,conv_layer_32,conv_layer_33,conv_layer_34,conv_layer_35,conv_layer_36,conv_layer_37,conv_layer_38,conv_layer_39,conv_layer_40,conv_layer_41,conv_layer_42,conv_layer_43,conv_layer_44,conv_layer_45,conv_layer_46,conv_layer_47,conv_layer_48,conv_layer_49,conv_layer_50,conv_layer_51,conv_layer_52,conv_layer_53
1,133.5805,205.561,99.0035,104.205,114.24,112.1075,109.589,117.5205,113.456,106.874,111.5145,225.19,118.603,120.667,118.65,112.412,104.421,120.2655,112.1355,102.12,121.1225,121.48,104.448,120.7865,229.7555,126.177,116.0445,132.251,112.8505,105.1715,124.7185,110.9195,102.63,117.769,110.165,104.46,121.947,112.365,105.428,123.881,111.788,104.655,121.71,246.362,125.46,127.887,137.8985,120.7015,116.5845,139.785,118.207,117.445,141.4
2,133.642,199.082,98.035,102.422,119.0075,117.9915,104.7015,117.2905,139.809,105.569,114.235,227.814,137.7955,124.086,117.84,111.21,101.232,118.572,112.495,100.516,119.3615,112.075,101.85,118.9005,237.918,131.439,117.8765,129.7115,110.827,105.933,124.489,111.69,102.731,120.624,110.97,102.277,122.156,113.843,105.632,120.187,109.985,108.862,126.5795,250.378,126.9685,127.144,140.409,116.61,118.14,138.352,116.28,118.331,189.612
3,133.281,205.2925,98.67,105.716,114.75,110.585,105.367,114.297,113.035,105.6855,115.305,227.776,119.8495,121.011,119.577,123.381,103.1955,117.658,110.4855,102.0,127.5345,110.075,101.943,119.9425,228.646,125.7515,117.95,123.6225,113.6265,103.18,120.079,110.442,105.501,121.3645,110.787,104.995,130.8,109.5945,111.2945,121.519,111.456,100.978,122.317,240.71,122.76,128.205,153.287,132.89,118.702,136.7705,123.975,118.585,139.5125
4,144.487,199.684,97.227,106.582,116.636,128.1645,108.225,115.459,113.959,106.335,114.09,235.4485,119.766,121.0125,126.2575,111.78,101.671,116.9865,112.4945,101.88,119.456,116.778,102.805,123.282,227.912,124.286,119.178,134.841,110.2845,104.52,123.853,108.884,107.113,121.615,109.385,102.8105,123.526,109.114,106.455,128.862,110.909,103.3245,123.921,245.781,131.198,127.9535,137.7855,117.1705,119.9855,136.404,118.4315,120.135,137.416
5,131.812,202.136,100.43,105.921,115.2885,115.783,106.3455,111.3,113.485,107.117,119.917,224.486,125.132,118.288,117.665,111.639,100.95,120.382,111.9275,100.6845,117.5695,117.873,102.896,118.8305,225.4795,127.5195,118.255,122.49,112.8045,103.497,127.777,110.88,104.518,121.8305,112.494,101.7615,120.986,111.4925,104.9355,124.107,110.901,103.052,121.017,242.749,127.226,127.113,137.571,116.1855,114.623,136.419,114.785,116.9245,153.7495
6,132.574,199.8985,97.685,104.975,115.9395,115.2145,107.131,111.699,112.197,104.46,115.2315,226.232,121.1135,118.101,118.89,110.074,101.522,117.0645,110.257,101.996,119.5025,111.7315,102.03,119.1,225.752,127.1045,128.484,124.605,111.701,107.03,123.254,110.719,105.443,122.961,108.301,104.34,122.0985,110.369,104.73,129.1705,111.5315,105.37,122.699,244.3465,127.5415,138.17,134.0,116.404,117.8755,139.1575,118.369,117.3015,138.465
7,137.073,203.0055,96.451,105.4455,111.8545,111.9,105.9605,113.509,123.766,105.09,117.226,224.104,119.73,117.785,117.844,110.936,102.75,134.261,113.261,100.6435,119.2165,110.898,102.366,126.4655,236.411,126.27,120.056,134.2855,111.03,103.444,121.5045,109.477,104.2185,122.636,110.0535,104.931,121.165,112.0755,103.62,121.251,110.48,104.31,122.972,247.452,140.61,127.2305,137.607,116.577,116.884,134.2555,118.301,119.1125,138.476
8,132.563,200.5665,98.37,104.91,114.78,113.871,104.8545,114.042,112.4165,104.52,119.946,228.131,117.941,118.59,117.5745,111.54,101.612,117.042,112.3175,108.9245,117.959,110.3955,101.255,120.3345,228.483,126.553,117.944,129.766,114.1365,103.085,121.302,121.5895,105.475,122.33,110.7,103.4195,134.462,110.16,101.815,118.383,108.6875,104.49,123.343,241.66,128.15,128.555,138.8,115.44,118.519,138.9625,117.994,121.688,137.485
9,137.763,198.7175,97.6385,104.401,113.434,114.0015,105.12,119.7445,110.915,106.104,113.6155,226.3305,120.627,118.5725,118.748,111.78,101.85,119.438,109.696,100.423,118.964,110.8255,100.886,119.04,228.532,125.281,118.1425,134.916,111.284,105.775,119.9105,114.308,103.778,124.5095,109.901,105.635,123.355,110.067,104.233,127.827,111.672,104.79,120.935,256.2065,133.179,126.8755,138.459,115.6,116.285,147.215,118.245,116.952,138.714
10,132.498,203.841,101.031,103.149,115.256,113.335,109.213,114.261,119.646,105.872,114.3295,226.7385,122.128,121.27,117.904,111.241,101.509,120.917,111.836,102.535,120.504,111.72,103.2045,118.385,226.648,122.6455,118.225,120.729,109.834,105.205,121.9205,110.76,104.9875,125.4775,109.673,105.087,119.7685,112.971,105.5355,123.686,111.19,105.665,122.371,242.3505,131.7815,123.395,136.856,116.609,118.399,138.466,116.209,119.3075,139.251
11,142.901,199.7205,99.0,104.79,113.2245,113.71,105.836,121.843,113.849,107.7865,116.424,224.3145,121.581,121.176,118.53,112.316,101.85,117.8745,111.619,101.044,130.704,113.158,102.24,119.756,226.5605,127.4055,118.676,130.914,110.76,103.385,123.5515,110.91,104.46,123.445,113.8365,102.485,121.06,110.967,106.994,122.878,114.4095,105.4455,122.8405,251.5725,129.1665,127.32,141.462,116.34,116.454,137.8165,118.401,121.662,191.9925
12,133.108,201.151,97.5025,105.276,113.966,112.497,107.061,112.3595,113.432,104.2515,116.301,226.527,120.835,120.6325,118.22,112.225,102.825,118.113,111.51,103.87,117.45,114.857,102.92,121.752,227.816,128.001,116.195,123.3555,108.9385,103.354,135.625,111.745,104.13,141.663,111.612,104.46,122.0005,108.519,101.379,124.391,109.869,102.772,125.5665,244.035,128.737,127.138,144.9105,116.455,118.87,136.698,115.325,117.27,138.3035
13,130.123,199.5385,95.642,102.73,114.42,127.1675,105.195,116.656,113.7555,105.321,113.7375,223.3305,119.5625,119.649,115.09,112.641,103.348,118.6115,111.69,101.55,119.04,110.524,101.1345,118.0055,227.9155,126.66,116.345,119.369,110.0745,111.624,123.69,110.0975,103.205,121.4425,109.593,103.084,125.017,110.832,102.9235,121.285,109.946,106.491,119.969,248.56,126.2055,127.721,138.502,118.194,117.4445,137.1595,117.086,119.3925,135.441
14,145.829,208.052,97.595,104.19,114.6,113.6355,104.255,114.985,113.156,106.49,114.1185,224.9115,120.853,120.798,118.68,112.3725,105.16,114.7875,108.834,101.64,120.345,112.1795,99.847,118.95,227.8455,128.191,116.91,124.6405,108.49,105.265,122.1,109.7745,101.7985,134.936,110.428,112.815,120.8465,110.2755,105.0095,131.7405,109.742,116.6515,125.1465,247.23,125.412,128.876,180.286,119.58,117.936,138.649,120.6405,115.2945,139.151
15,135.6365,201.4615,113.573,103.407,130.918,112.35,107.407,113.256,118.8585,104.79,114.9735,225.055,121.346,119.31,120.2355,112.083,101.94,119.07,112.679,102.27,118.1985,112.675,101.82,120.657,226.6975,125.4645,117.387,122.76,111.03,104.693,121.86,111.6885,103.28,121.016,113.453,105.464,123.889,110.67,103.0255,120.564,111.175,106.045,124.7265,244.1995,127.197,128.9415,137.2745,112.484,120.444,138.087,114.661,119.78,188.028
16,151.048,202.0875,100.574,104.225,122.588,117.396,107.331,112.242,117.156,105.986,115.496,226.495,130.219,118.92,120.115,111.6465,102.5055,115.8265,111.87,108.1185,118.127,112.734,103.7575,120.116,229.126,124.149,116.785,123.472,109.838,106.6115,123.8175,110.94,103.4345,123.385,111.985,103.175,124.6695,113.181,104.46,122.292,110.94,102.656,122.559,245.685,126.587,124.799,137.696,117.386,117.57,186.9845,116.6865,117.7415,137.151
17,133.204,200.8865,99.6835,109.0025,115.525,117.456,103.6855,114.6,119.0985,106.9395,128.1735,228.836,122.6845,120.799,120.541,110.315,104.539,118.278,111.4495,101.093,117.124,112.2225,102.42,117.412,238.143,126.597,116.545,134.334,110.4,106.2,119.981,113.151,101.649,128.376,108.3685,110.298,122.024,112.31,104.058,122.994,109.6855,104.4295,122.64,247.2555,125.6355,131.121,136.944,117.1115,116.971,138.085,118.228,119.307,139.4825
18,133.719,200.79,100.431,108.823,116.6115,126.6535,106.5855,113.135,118.7865,104.7975,114.36,223.416,121.365,123.991,121.005,115.422,108.242,119.1515,112.6675,103.12,117.951,111.124,101.2845,121.1715,240.586,126.484,119.361,123.2655,112.401,105.643,123.143,111.1615,103.59,121.6165,122.142,104.2505,133.5765,110.85,103.1745,123.73,116.109,105.476,127.716,244.7305,126.873,130.965,136.371,115.44,117.8705,140.085,118.4985,119.0,137.3565
19,132.325,203.7815,99.21,104.993,113.8185,113.9865,105.53,113.045,111.905,101.779,121.412,227.2495,121.401,118.385,119.0465,113.839,103.101,118.7985,111.57,101.09,118.825,111.066,104.386,119.875,227.4255,130.001,118.2855,121.1435,111.8355,102.867,135.131,108.759,104.46,121.507,111.443,103.062,122.696,111.896,104.751,121.885,110.91,103.0035,121.5125,246.89,125.67,126.715,138.055,119.3495,116.289,139.819,117.147,117.824,138.386
20,134.154,203.7625,100.016,104.744,122.394,110.167,106.708,115.574,113.648,103.3,115.178,226.344,126.61,120.832,121.31,113.5715,100.834,117.1545,112.1355,100.505,116.543,111.437,102.06,118.615,228.925,124.819,117.24,123.5055,107.923,112.552,122.608,111.241,117.5145,121.89,121.864,105.1335,120.5695,109.47,102.9515,124.983,130.796,102.0175,127.6485,245.5455,124.9815,125.4895,151.564,123.463,115.973,139.101,115.548,117.72,137.486
21,134.3655,201.84,98.73,105.21,117.6495,112.86,107.27,113.73,117.857,104.044,113.73,226.741,120.24,119.3655,120.168,112.004,100.1145,119.996,110.73,100.0885,117.3945,113.512,102.297,120.535,227.417,126.8425,115.654,122.258,119.5955,104.652,122.432,111.866,101.732,131.954,109.1445,105.01,122.725,111.09,105.3585,131.258,110.059,106.372,123.742,245.3415,139.033,129.1525,138.802,125.918,115.071,136.099,117.756,122.7925,139.416
22,129.12,203.335,99.4415,111.326,114.6,111.93,104.0135,111.369,118.359,104.31,116.149,224.038,125.046,117.6775,120.261,111.9325,101.1635,121.4995,116.193,101.1,117.454,111.21,101.494,117.604,230.302,126.3255,124.8505,123.0425,109.354,104.8455,123.547,114.607,102.9045,121.985,108.9945,103.86,122.414,110.64,102.82,125.2365,113.7,104.875,122.238,244.51,122.2585,125.595,139.8165,116.78,119.81,145.139,117.386,126.042,138.8155
23,133.911,204.197,98.67,106.5,122.362,110.76,104.452,115.744,112.615,104.485,117.346,232.8725,124.659,119.365,119.9725,114.292,102.1085,120.205,113.329,102.09,118.14,111.569,102.987,130.303,229.469,125.79,117.42,124.882,111.995,108.1595,123.414,110.626,102.975,121.354,113.477,105.6255,123.917,108.4005,104.16,122.709,111.807,103.902,122.46,245.4185,126.0,125.364,156.968,120.433,118.855,136.562,118.071,116.658,139.846
24,128.4375,200.7,100.43,103.2895,111.945,111.154,105.21,113.936,121.308,129.41,113.127,221.6905,119.635,118.621,117.7985,111.69,118.256,121.712,123.11,103.8815,118.408,110.194,103.847,118.14,226.1445,126.57,115.895,125.613,112.881,104.31,126.4605,113.8355,102.844,124.31,111.7155,104.549,122.515,110.85,103.902,120.154,111.091,103.4145,124.821,244.884,128.783,136.125,140.11,117.0515,118.4545,134.8345,116.61,117.51,136.441
25,133.4485,203.481,98.3615,110.553,114.05,114.342,14.76,116.101,123.021,105.365,114.992,226.765,122.478,119.288,118.53,110.4645,103.436,120.442,110.434,101.802,129.2805,112.0345,101.467,119.01,230.7735,125.4925,116.2245,121.023,110.64,104.34,121.872,112.78,101.383,119.495,111.4605,113.77,121.361,110.28,105.5795,121.4405,110.82,106.011,124.49,266.506,125.599,127.651,138.196,115.475,116.266,138.729,116.8985,134.156,139.44
