Conv_layer#,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,avg_execution_time_ms,stdv_execution_time_ms,CoV
1,1336,1309,1341,1354,1333,1342,1340,1331,1253,1351,1252,1341,1363,1333,1329,1299,1382,1357,1325,1344,1325,1204,1335,1255,1341,1308,1330,1285,1336,1345,1322.633333,38.29601882,0.02895437296
2,718,709,687,726,617,710,717,714,720,710,721,711,716,721,732,728,708,700,727,714,735,738,710,654,719,724,731,724,715,729,712.8333333,24.04318433,0.03372904044
3,281,268,305,291,270,319,281,277,300,286,270,300,283,283,280,302,309,277,306,274,291,291,305,290,291,284,291,274,282,297,288.6,12.94177944,0.04484331062
4,466,501,492,503,479,502,506,468,482,495,507,455,517,500,475,475,479,463,504,501,486,498,506,509,479,467,470,496,508,488,489.2333333,16.62711399,0.03398606116
5,817,831,806,803,772,781,784,761,810,795,753,821,799,795,811,793,802,760,813,729,809,725,784,817,795,801,798,825,814,796,793.3333333,26.12085088,0.03292544228
6,717,753,714,765,765,740,755,764,766,769,773,776,756,757,757,749,758,772,749,744,690,738,755,761,744,758,745,765,737,762,751.8,18.72007958,0.02490034527
7,472,496,502,478,487,515,503,519,494,486,491,517,492,463,462,506,500,493,480,500,495,492,481,507,470,476,509,465,494,441,489.5333333,18.1254885,0.03702605577
8,796,771,726,753,722,787,749,797,787,792,785,795,765,791,731,799,776,762,797,814,776,798,779,691,760,781,767,726,753,755,769.3666667,28.58198532,0.03715001775
9,754,751,717,733,730,734,753,690,744,746,755,748,749,696,696,743,748,719,751,756,755,749,730,738,749,774,748,678,652,730,733.8666667,27.00923639,0.03680401035
10,502,498,504,488,463,456,508,492,496,444,500,493,501,473,497,489,493,507,479,499,485,487,479,499,472,497,487,474,489,479,487.6666667,15.17105532,0.03110947776
11,804,805,787,762,808,775,777,794,725,736,793,761,771,798,777,742,778,802,804,795,771,784,787,799,783,815,811,786,789,781,783.3333333,21.74512761,0.02775973737
12,1449,1448,1483,1452,1461,1465,1475,1445,1463,1471,1495,1489,1447,1483,1470,1429,1429,1435,1468,1472,1431,1439,1452,1474,1348,1467,1487,1448,1460,1443,1455.933333,27.47027652,0.01886781207
13,902,938,914,933,977,961,1005,987,945,962,964,975,981,966,932,974,967,938,948,965,982,977,969,931,845,957,960,961,971,902,952.9666667,31.78427646,0.0333529782
14,974,964,961,964,949,941,963,942,960,960,975,967,925,947,906,975,955,945,939,951,967,947,969,943,948,963,956,940,946,941,952.7666667,15.27829954,0.01603572005
15,925,930,925,889,936,900,943,947,907,922,957,924,937,901,951,932,906,903,945,899,937,929,902,911,927,953,946,946,866,910,923.5333333,21.81067966,0.02361655922
16,728,720,715,720,720,711,736,716,721,705,709,725,718,716,724,734,720,699,682,693,725,723,720,705,724,713,685,712,713,726,715.2666667,12.71147549,0.01777165928
17,415,400,380,380,419,402,381,388,384,395,390,406,401,397,414,421,398,380,382,391,404,382,400,399,371,407,394,381,381,374,393.9,13.54010645,0.03437447691
