Conv_layer#,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,avg_execution_time_ms,stdv_execution_time_ms,CoV
1,4394,4389,4385,4385,4336,4361,4375,4359,4392,4383,4361,4379,4348,4395,4391,4383,4396,4338,4382,4378,4369,4309,4397,4260,4388,4281,4387,4391,4380,4363,4367.833333,33.60324629,0.007693344439
2,6736,6719,6727,6701,6715,6738,6739,6730,6659,6732,6732,6720,6726,6740,6707,6714,6707,6703,6732,6737,6736,6753,6713,6696,6724,6736,6722,6729,6744,6716,6722.766667,18.29581323,0.002721470807
3,3294,3298,3306,3299,3294,3309,3288,3291,3307,3312,3314,3305,3313,3302,3309,3309,3306,3294,3280,3311,3304,3309,3304,3305,3305,3309,3294,3311,3307,3299,3302.933333,8.208210076,0.002485127384
4,3457,3467,3496,3494,3463,3516,3502,3499,3511,3495,3501,3490,3468,3480,3479,3516,3492,3488,3504,3508,3512,3502,3505,3451,3504,3502,3496,3510,3510,3480,3493.266667,17.73936463,0.005078159305
5,3816,3738,3832,3827,3787,3822,3801,3831,3821,3815,3814,3825,3821,3823,3810,3817,3819,3804,3827,3813,3833,3830,3815,3720,3812,3762,3824,3812,3824,3814,3810.3,26.32705439,0.006909443979
6,3722,3707,3727,3764,3733,3759,3740,3737,3762,3753,3744,3723,3767,3760,3748,3764,3766,3722,3754,3710,3763,3732,3702,3748,3707,3726,3742,3769,3738,3721,3740.333333,20.33568858,0.005436865318
7,3508,3499,3506,3514,3513,3505,3509,3485,3511,3507,3502,3510,3487,3511,3517,3518,3500,3521,3513,3505,3508,3497,3471,3507,493,3512,3502,3490,3507,3465,3403.1,549.7790998,0.1615524374
8,3793,3806,3808,3788,3715,3791,3804,3814,3803,3750,3810,3788,3793,3808,3813,3815,3814,3806,3809,3795,3798,3784,3807,3765,3810,3805,3813,3807,3812,3769,3796.433333,21.97911757,0.00578941223
9,3722,3734,3737,3741,3750,3745,3739,3754,3738,3750,3751,3740,3759,3743,3769,3746,3734,3718,3754,3745,3722,3744,3722,3758,3761,3763,3759,3747,3751,3715,3743.7,13.90646091,0.003714630156
10,3476,3481,3495,3505,3478,3492,3504,3493,3512,3504,3508,3484,3507,3482,3504,3499,3500,3507,3494,3487,3507,3487,3500,3437,3498,3460,3500,3508,3490,3458,3491.9,17.09476629,0.004895548638
11,3759,3808,3823,3811,3802,3809,3813,3802,3828,3820,3803,3815,3830,3814,3813,3824,3808,3821,3814,3819,3800,3805,3815,3719,3822,3821,3835,3816,3837,3815,3810.7,22.24495293,0.005837497818
12,7409,7503,7500,7511,7480,7517,7503,7527,7524,7508,7512,7494,7465,7498,7472,7492,7495,7442,7478,7479,7519,7497,7425,7332,7529,7474,7511,7495,7479,7485,7485.166667,40.25614824,0.005378123165
13,3974,3929,3997,3988,3976,3986,4001,3968,3982,3987,3988,3995,4005,3990,4015,4018,3999,3919,4011,3989,4009,3999,3988,3963,3991,4015,3997,4009,3970,3992,3988.333333,22.49802035,0.005640957881
14,3967,3943,3967,3912,3952,3933,3965,3962,3969,3967,3960,3970,3959,3961,3986,3967,3961,3939,3949,3962,3948,3955,3956,3955,3953,3972,3970,3943,3961,3975,3957.966667,14.30091228,0.003613196745
15,3964,3930,3960,3971,3958,3967,3970,3962,3961,3966,3952,3979,3905,3966,3982,3978,3967,3934,3985,3978,3954,3949,3950,3943,3953,3951,3968,3965,3982,3982,3961.066667,17.51636345,0.004422132957
16,3729,3716,3738,3732,3727,3713,3728,3727,3730,3725,3719,3716,3696,3728,3718,3719,3719,3721,3727,3727,3722,3713,3728,3732,3725,3734,3742,3723,3735,3739,3724.933333,9.273370601,0.002489540019
17,3416,3383,3414,3395,3366,3401,3426,3401,3405,3398,3402,3422,3392,3414,3408,3393,3418,3380,3412,3397,3380,3415,3396,3401,3415,3420,3392,3382,3411,3379,3401.133333,15.02350649,0.004417205976
